window,timerange,strategy,param_set,exit_code,total_trades,total_profit_pct,profit_factor,sharpe,max_dd_pct,long_profit_pct,short_profit_pct
2022,20220101-20221231,EnhancedCointPairsStrategy_V01,default,0,24,8.39,1.18,0.08,18.82,13.66,-5.27
2023,20230101-20231231,EnhancedCointPairsStrategy_V01,default,0,32,-0.58,0.98,-0.01,11.68,8.42,-9.00
2024,20240101-20241231,EnhancedCointPairsStrategy_V01,default,0,34,10.9,1.20,0.13,10.26,1.47,9.44
2025-2026Q1,20250101-20260331,EnhancedCointPairsStrategy_V01,default,0,46,4.49,1.07,0.05,10.02,-10.05,14.54
full_2022_2026,20220101-20260331,EnhancedCointPairsStrategy_V01,default,0,134,25.73,1.12,0.07,18.82,12.06,13.67
2022,20220101-20221231,EnhancedCointPairsStrategy_V01,hyperopt,0,24,-13.98,0.71,-0.17,25.54,-14.46,0.49
2023,20230101-20231231,EnhancedCointPairsStrategy_V01,hyperopt,0,22,2.55,1.11,0.04,11.41,15.33,-12.78
2024,20240101-20241231,EnhancedCointPairsStrategy_V01,hyperopt,0,20,3.79,1.12,0.05,12.66,11.07,-7.28
2025-2026Q1,20250101-20260331,EnhancedCointPairsStrategy_V01,hyperopt,0,30,4.54,1.11,0.05,10.40,-7.80,12.35
full_2022_2026,20220101-20260331,EnhancedCointPairsStrategy_V01,hyperopt,0,96,-4.31,0.97,-0.01,25.54,1.34,-5.65
